Country,Population,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active,Serious_Critical,Total_Cases_per_1M_pop,Deaths_per_1M_pop,Total_Tests,Tests_per_1M_pop
Guadeloupe,400131,279,,14,,179,,86,,697,35,18476,46175
Martinique,375235,276,,15,,98,,163,1,736,40,12227,32585
Faeroe Islands,48882,266,,,,192,,74,1,5442,,43045,880590
Aruba,106812,263,,3,,114,,146,,2462,28,14047,131511
Cambodia,16741375,243,,,,210,,33,1,15,,67807,4050
Trinidad and Tobago,1399950,210,,8,,135,,67,,150,6,9559,6828
Cayman Islands,65798,203,,1,,202,,0,,3085,15,31108,472780
Gibraltar,33690,190,,,,184,,6,,5640,,23063,684565
Papua New Guinea,8963009,163,,3,,53,,107,,18,0.3,10808,1206
Sint Maarten,42924,160,,16,,64,,80,3,3728,373,1115,25976
Bermuda,62254,157,,9,,144,,4,,2522,145,26352,423298
Brunei ,437893,141,,3,,138,,0,,322,7,41148,93968
Barbados,287411,133,,7,,100,,26,,463,24,12233,42563
Turks and Caicos,38768,129,,2,,39,,88,3,3327,52,1252,32295
Seychelles,98408,126,,,,124,,2,,1280,,,
Monaco,39270,125,,4,,105,,16,2,3183,102,38209,972982
Bhutan,772443,105,,,,93,,12,,136,,54589,70671
Antigua and Barbuda,98010,92,,3,,76,,13,1,939,31,1500,15305
Liechtenstein,38139,89,,1,,85,,3,,2334,26,900,23598
Belize,398312,86,,2,,31,,53,2,216,5,3679,9236
French Polynesia,281072,64,,,,62,,2,,228,,5849,20810
St. Vincent Grenadines,110976,56,,,,46,,10,,505,,2447,22050
Saint Martin,38729,53,,3,,41,,9,1,1368,77,1183,30546
Macao,650193,46,,,,46,,0,,71,,4071,6261
Curaçao,164161,31,,1,,28,,2,,189,6,1080,6579
Fiji,897095,27,,1,,18,,8,,30,1,6693,7461
Saint Lucia,183712,25,,,,24,,1,,136,,3895,21202
Timor-Leste,1320812,25,,,,24,,1,,19,,4238,3209
Grenada,112576,24,,,,23,,1,,213,,6252,55536
